,asset,sim_name,scen_id,std_unit,w_sharp,sharp_ratio_3m,sharp_ratio_6m,sharp_ratio_1y,sharp_ratio_2y,sharp_ratio_3y,tot_pnl_3m,tot_pnl_6m,tot_pnl_1y,tot_pnl_2y,tot_pnl_3y,tot_cost_3m,tot_cost_6m,tot_cost_1y,tot_cost_2y,tot_cost_3y,par_name0,par_value0,par_name1,par_value1,par_name2,par_value2,par_name3,par_value3,par_name4,par_value4,freq,channels,ma_chan,price_mode,lookbacks,ratios,trend_factor,lot_size,min_rng,vol_ratio,volumes
48,rb,DTvec_pct10_180214,67,495.698,1.0079804,-1.00514,0.178362,1.00794,1.42283,1.25889,-123.0,60.0,790.0,2225.0,2458.0,47.0,82.0,153.0,290.0,432.0,param,"[0.3, 2, 0.5, 0.0]",chan,21,mode,TP,,0,,0,1,21,0,TP,2,0.3,0.5,10,0.0035,"[0.0, 1.0]",[1]
49,rb,DTvec_dchan_180214,119,489.764,0.9954374,-0.796669,0.431187,1.18545,1.08755,0.922947,-101.0,142.0,918.0,1657.0,1752.0,57.0,104.0,199.0,408.0,606.0,param,"[0.2, 2, 0.5, 0.0]",chan,21,mode,TP,,0,,0,1,21,0,TP,2,0.2,0.5,10,0.0035,"[0.0, 1.0]",[1]
50,rb,DTvec_pct25_180214,86,492.527,0.978717,0.0494985,0.872313,0.748626,1.26201,1.19955,6.0,293.0,583.0,2009.0,2380.0,48.0,88.0,167.0,320.0,476.0,param,"[0.2, 4, 0.5, 0.0]",chan,21,mode,HL,,0,,0,1,21,0,HL,4,0.2,0.5,10,0.0035,"[0.0, 1.0]",[1]
51,rb,DTvec_pct10_180214,85,477.444,0.957447,-1.16522,0.294083,0.812016,1.43456,1.38026,-136.0,97.0,613.0,2277.0,2737.0,42.0,76.0,143.0,282.0,418.0,param,"[0.2, 4, 0.5, 0.0]",chan,11,mode,TP,,0,,0,1,11,0,TP,4,0.2,0.5,10,0.0035,"[0.0, 1.0]",[1]
52,rb,DTvec_dchan_180214,112,500.163,0.9565378,-1.82817,-0.471311,0.93825,1.68875,1.45273,-261.0,-163.0,742.0,2759.0,2964.0,82.0,151.0,285.0,546.0,818.0,param,"[0.2, 2, 0.5, 0.0]",chan,3,mode,HL,,0,,0,1,3,0,HL,2,0.2,0.5,10,0.0035,"[0.0, 1.0]",[1]
53,rb,DTvec_pct10_180214,87,507.011,0.9494892,-1.37411,0.153206,1.01789,1.27923,1.17276,-188.0,52.0,816.0,2022.0,2312.0,43.0,76.0,139.0,274.0,406.0,param,"[0.2, 4, 0.5, 0.0]",chan,21,mode,TP,,0,,0,1,21,0,TP,4,0.2,0.5,10,0.0035,"[0.0, 1.0]",[1]
54,rb,DTvec_pct10_180214,30,484.985,0.9466178,-1.12566,0.575733,0.837208,1.24147,1.1847,-145.0,192.0,642.0,1939.0,2303.0,51.0,84.0,161.0,318.0,462.0,param,"[0.5, 1, 0.5, 0.0]",chan,21,mode,HL,,0,,0,1,21,0,HL,1,0.5,0.5,10,0.0035,"[0.0, 1.0]",[1]
55,rb,DTvec_pct10_180214,35,496.828,0.9428022,-1.53304,0.263941,0.981465,1.24357,1.21836,-189.0,89.0,771.0,1982.0,2423.0,35.0,58.0,117.0,234.0,342.0,param,"[0.6, 1, 0.5, 0.0]",chan,21,mode,TP,,0,,0,1,21,0,TP,1,0.6,0.5,10,0.0035,"[0.0, 1.0]",[1]
56,rb,DTvec_pct10_180214,28,468.857,0.941717,-0.78902,0.095379,0.782373,1.52423,1.50842,-103.0,32.0,580.0,2384.0,2939.0,50.0,86.0,165.0,326.0,474.0,param,"[0.5, 1, 0.5, 0.0]",chan,11,mode,HL,,0,,0,1,11,0,HL,1,0.5,0.5,10,0.0035,"[0.0, 1.0]",[1]
57,rb,DTvec_pct10_180214,57,467.79,0.9345386,0.105563,0.234385,0.903134,1.31602,1.23628,14.0,77.0,668.0,2055.0,2405.0,56.0,106.0,205.0,418.0,620.0,param,"[0.2, 2, 0.5, 0.0]",chan,11,mode,TP,,0,,0,1,11,0,TP,2,0.2,0.5,10,0.0035,"[0.0, 1.0]",[1]
